No.,date,task_name,yesterday progress,today progress,priority,finished,completed date
1,2026/08/01,完成进度看板项目,70,100,high,yes,2026/08/01
2,2026/08/01,完成华为与hg仿真,46,100,high,yes,2026/08/25
3,2026/08/01,完成网络测量标准提纲,26,26,high,no,
4,2026/08/03,完成AI综述论文编写,10,10,medium,no,
5,2026/08/03,完成仿真论文编写,5,5,medium,no,
6,2026/08/03,完成测量专利编写,5,5,high,no,
7,2026/08/03,完成调优专利编写,1,1,low,no,
8,2026/08/03,完成AI跟踪SIGCOMM,5,100,medium,yes,2026/08/03
9,2026/08/03,完成电脑文件整理,30,35,medium,no,
10,2026/08/03,完成汽车保险购买,5,100,high,yes,2026/08/03
11,2026/08/03,搭建个人知识库(workbuddy/llm-wiki/obsidian),85,100,low,yes,2026/08/03
12,2026/08/03,完成时变路由报告修改,0,50,high,no,
13,2026/08/03,预约医生线上复诊,0,100,medium,yes,2026/08/03
14,2026/08/03,给博客绑定域名和公网ip,0,100,low,yes,2026/08/03
15,2026/08/04,修改paypal密码,0,100,medium,yes,2026/08/04
16,2026/08/04,完成bgp blockchain专利编写,0,0,low,no,
17,2026/08/04,完成以前的论文修改并投稿,0,0,medium,no,
18,2026/08/04,完成旧博客文章的导入,0,100,low,yes,2026/08/04
19,2026/08/05,完成百度网盘数据迁移,0,100,low,yes,2026/08/05
20,2026/08/06,完成2台旧电脑改造,0,50,medium,no,
21,2026/08/14,推进CCSA行标与华为开会,0,100,high,yes,2026/08/14
22,2026/08/20,完成流程设计的业务单元梳理,0,100,high,yes,2026/08/20
23,2026/08/21,研究AI做PPT,50,50,low,no,
24,2026/08/22,做个任务看板,100,100,low,yes,2026/08/22
25,2026/08/22,用AI-Agent处理论文邮件订阅,100,100,low,yes,2026/08/22
26,2026/08/26,让qoder优化仿真工具可视化页面,0,0,low,no,
27,2026/08/26,创建微信公众号文章发布skill,0,0,low,no,
